LEFT HEMISPHERE:
  Index 0: ???
  Index 1: L_V1_ROI
  Index 2: L_MST_ROI
  Index 3: L_V6_ROI
  Index 4: L_V2_ROI
  Index 5: L_V3_ROI
  Index 6: L_V4_ROI
  Index 7: L_V8_ROI
  Index 8: L_4_ROI
  Index 9: L_3b_ROI
  Index 10: L_FEF_ROI
  Index 11: L_PEF_ROI
  Index 12: L_55b_ROI
  Index 13: L_V3A_ROI
  Index 14: L_RSC_ROI
  Index 15: L_POS2_ROI
  Index 16: L_V7_ROI
  Index 17: L_IPS1_ROI
  Index 18: L_FFC_ROI
  Index 19: L_V3B_ROI
  Index 20: L_LO1_ROI
  Index 21: L_LO2_ROI
  Index 22: L_PIT_ROI
  Index 23: L_MT_ROI
  Index 24: L_A1_ROI
  Index 25: L_PSL_ROI
  Index 26: L_SFL_ROI
  Index 27: L_PCV_ROI
  Index 28: L_STV_ROI
  Index 29: L_7Pm_ROI
  Index 30: L_7m_ROI
  Index 31: L_POS1_ROI
  Index 32: L_23d_ROI
  Index 33: L_v23ab_ROI
  Index 34: L_d23ab_ROI
  Index 35: L_31pv_ROI
  Index 36: L_5m_ROI
  Index 37: L_5mv_ROI
  Index 38: L_23c_ROI
  Index 39: L_5L_ROI
  Index 40: L_24dd_ROI
  Index 41: L_24dv_ROI
  Index 42: L_7AL_ROI
  Index 43: L_SCEF_ROI
  Index 44: L_6ma_ROI
  Index 45: L_7Am_ROI
  Index 46: L_7PL_ROI
  Index 47: L_7PC_ROI
  Index 48: L_LIPv_ROI
  Index 49: L_VIP_ROI
  Index 50: L_MIP_ROI
  Index 51: L_1_ROI
  Index 52: L_2_ROI
  Index 53: L_3a_ROI
  Index 54: L_6d_ROI
  Index 55: L_6mp_ROI
  Index 56: L_6v_ROI
  Index 57: L_p24pr_ROI
  Index 58: L_33pr_ROI
  Index 59: L_a24pr_ROI
  Index 60: L_p32pr_ROI
  Index 61: L_a24_ROI
  Index 62: L_d32_ROI
  Index 63: L_8BM_ROI
  Index 64: L_p32_ROI
  Index 65: L_10r_ROI
  Index 66: L_47m_ROI
  Index 67: L_8Av_ROI
  Index 68: L_8Ad_ROI
  Index 69: L_9m_ROI
  Index 70: L_8BL_ROI
  Index 71: L_9p_ROI
  Index 72: L_10d_ROI
  Index 73: L_8C_ROI
  Index 74: L_44_ROI
  Index 75: L_45_ROI
  Index 76: L_47l_ROI
  Index 77: L_a47r_ROI
  Index 78: L_6r_ROI
  Index 79: L_IFJa_ROI
  Index 80: L_IFJp_ROI
  Index 81: L_IFSp_ROI
  Index 82: L_IFSa_ROI
  Index 83: L_p9-46v_ROI
  Index 84: L_46_ROI
  Index 85: L_a9-46v_ROI
